Terminal,terminalID,Country,Scope,year,name,amount,uom,uom,emission_factor,Conv Factor Unit,Emission (tCO2eq),Comments
ATB,1,Malaysia,1 - Direct Emissions,2019,Diesel,376000,L,2,0.00271,tCO2eq/L,1018.96,
ATB,1,Malaysia,2 - Indirect Emissions,2019,Electricity,7907,MWh,3,0.489,tCO2eq/MWh,3866.523,
ATPC,6,Belgium,1 - Direct Emissions,2019,Natural Gas,21506714,m3,1,0.00192,tCO2eq/m3,41292.89088,
ATPC,6,Belgium,1 - Direct Emissions,2019,Fuel gas,844.13,tCO2eq,4,1,none,844.13,
ATPC,6,Belgium,1 - Direct Emissions,2019,Diesel,119830,L,2,0.00271,tCO2eq/L,324.7393,
ATPC,6,Belgium,2 - Indirect Emissions,2019,Electricity,14556,MWh,3,0.156,tCO2eq/MWh,2270.736,
ATT,7,Croatia,1 - Direct Emissions,2019,Diesel,5371,L,2,0.00271,tCO2eq/L,14.55541,
ATT,7,Croatia,2 - Indirect Emissions,2019,Electricity,260,MWh,3,0.265,tCO2eq/MWh,68.9,
BCT,10,South Africa,1 - Direct Emissions,2019,Diesel,9000,L,2,0.00271,tCO2eq/L,24.39,
BCT,10,South Africa,2 - Indirect Emissions,2019,Electricity,915,MWh,3,0.869,tCO2eq/MWh,795.135,
ETA,8,Netherlands,1 - Direct Emissions,2019,Diesel,36000,L,2,0.00271,tCO2eq/L,97.56,
ETA,8,Netherlands,2 - Indirect Emissions,2019,Electricity,6462,MWh,3,0.321,tCO2eq/MWh,2074.302,
ETA,8,Netherlands,1 - Direct Emissions,2019,Natural Gas,43147,m3,1,0.00192,tCO2eq/m3,82.84224,
ETT,9,Netherlands,1 - Direct Emissions,2019,Diesel,31666,L,2,0.00271,tCO2eq/L,85.81486,
ETT,9,Netherlands,2 - Indirect Emissions,2019,Electricity,8000,MWh,3,0.321,tCO2eq/MWh,2568,
ETT,9,Netherlands,1 - Direct Emissions,2019,Natural Gas,1349000,m3,1,0.00192,tCO2eq/m3,2590.08,
HTL,2,Pakistan,2 - Indirect Emissions,2019,Electricity,839,MWh,3,0.391,tCO2eq/MWh,328.049,
MTT,12,Kenya,1 - Direct Emissions,2019,Diesel,5000,L,2,0.00271,tCO2eq/L,13.55,
MTT,12,Kenya,2 - Indirect Emissions,2019,Electricity,338,MWh,3,0.278,tCO2eq/MWh,93.964,
NAV,11,Nigeria,1 - Direct Emissions,2019,Diesel,75000,L,2,0.00271,tCO2eq/L,203.25,
NAV,11,Nigeria,2 - Indirect Emissions,2019,Electricity,494,MWh,3,0.401,tCO2eq/MWh,198.094,
PATSA,15,Panama,1 - Direct Emissions,2019,Diesel,299000,L,2,0.00271,tCO2eq/L,810.29,
PATSA,15,Panama,2 - Indirect Emissions,2019,Electricity,1053,MWh,3,0.357,tCO2eq/MWh,375.921,
SC,14,United States,1 - Direct Emissions,2019,Natural Gas,78604,m3,1,0.00192,tCO2eq/m3,150.91968,"reported 372,200CCF~1,053,953m3 in 2018"
SC,14,United States,2 - Indirect Emissions,2019,Electricity,2192,MWh,3,0.466,tCO2eq/MWh,1021.472,USA-SRSO?
VITCO,16,Argentina,2 - Indirect Emissions,2019,Electricity,405,MWh,3,0.365,tCO2eq/MWh,147.825,
VNT,18,Latvia,2 - Indirect Emissions,2019,Electricity,6737,MWh,3,0.09,tCO2eq/MWh,606.33,
VTTV,17,Cyprus,1 - Direct Emissions,2019,Diesel,9000,L,2,0.00271,tCO2eq/L,24.39,
